[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Tag[ route_check ] --START--
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Run CheckRoute Behavior [ RunTime:0.000731s ]
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000817s ]
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Tag[ app_begin ] --START--
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000972s ]
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001039s ]
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | SQL: SHOW COLUMNS FROM `ningbo_user` [ RunTime:0.000696s ]
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | SQL: SELECT COUNT(*) AS tp_count FROM `ningbo_user` LIMIT 1   [ RunTime:0.000218s ]
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | SQL: SHOW COLUMNS FROM `ningbo_userinfo` [ RunTime:0.000863s ]
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | SQL: SELECT user.id AS id,user.registime AS registime,user.`lock` AS `lock`,userinfo.username AS username,userinfo.face50 AS face,userinfo.follow AS follow,userinfo.fans AS fans,userinfo.weibo AS weibo FROM ningbo_user user LEFT JOIN ningbo_userinfo userinfo ON user.id = userinfo.user_id LIMIT 0,10   [ RunTime:0.000562s ]
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Tag[ view_template ] --START--
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001298s ]
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001370s ]
